Date,Open,High,Low,Close,Adj Close,Volume
2017-04-24,143.500000,143.949997,143.179993,143.639999,139.282196,17134300
2017-04-25,143.910004,144.899994,143.869995,144.529999,140.145187,18871500
2017-04-26,144.470001,144.600006,143.380005,143.679993,139.320984,20041200
2017-04-27,143.919998,144.160004,143.309998,143.789993,139.427643,14246300
2017-04-28,144.089996,144.300003,143.270004,143.649994,139.291885,20860400
2017-05-01,145.100006,147.199997,144.960007,146.580002,142.132996,33602900
2017-05-02,147.539993,148.089996,146.839996,147.509995,143.034805,45352200
2017-05-03,145.589996,147.490005,144.270004,147.059998,142.598450,45697000
2017-05-04,146.520004,147.139999,145.809998,146.529999,142.084518,23371900
2017-05-05,146.759995,148.979996,146.759995,148.960007,144.440811,27327700
2017-05-08,149.029999,153.699997,149.029999,153.009995,148.367920,48752400
2017-05-09,153.869995,154.880005,153.449997,153.990005,149.318192,39130400
2017-05-10,153.630005,153.940002,152.110001,153.259995,148.610352,25805700
2017-05-11,152.449997,154.070007,152.309998,153.949997,149.895569,27255100
2017-05-12,154.699997,156.419998,154.669998,156.100006,151.988968,32527000
2017-05-15,156.009995,156.649994,155.050003,155.699997,151.599518,26009700
2017-05-16,155.940002,156.059998,154.720001,155.470001,151.375549,20048500
2017-05-17,153.600006,154.570007,149.710007,150.250000,146.293030,50767700
2017-05-18,151.270004,153.339996,151.130005,152.539993,148.522705,33568200
2017-05-19,153.380005,153.979996,152.630005,153.059998,149.029007,26960800
2017-05-22,154.000000,154.580002,152.910004,153.990005,149.934540,22966400
2017-05-23,154.899994,154.899994,153.309998,153.800003,149.749542,19918900
2017-05-24,153.839996,154.169998,152.669998,153.339996,149.301636,19178000
2017-05-25,153.729996,154.350006,153.029999,153.869995,149.817673,19235600
2017-05-26,154.000000,154.240005,153.309998,153.610001,149.564529,21927600
2017-05-30,153.419998,154.429993,153.330002,153.669998,149.622955,20126900
2017-05-31,153.970001,154.169998,152.380005,152.759995,148.736908,24451200
2017-06-01,153.169998,153.330002,152.220001,153.179993,149.145844,16404100
2017-06-02,153.580002,155.449997,152.889999,155.449997,151.356079,27770700
2017-06-05,154.339996,154.449997,153.460007,153.929993,149.876099,25331700
2017-06-06,153.899994,155.809998,153.779999,154.449997,150.382416,26624900
2017-06-07,155.020004,155.979996,154.479996,155.369995,151.278198,21069600
2017-06-08,155.250000,155.539993,154.399994,154.990005,150.908203,21250800
2017-06-09,155.190002,155.190002,146.020004,148.979996,145.056458,64882700
2017-06-12,145.740005,146.089996,142.509995,145.419998,141.590240,72307300
